lesson,ページ,品詞,ロシア語（記号あり）,日本語,ロシア語（記号なし）
1,7,助,вот,ほらここ・そこに,вот
1,7,助,э́то,これ、それ,это
1,7,接,и,と、および、そして,и
1,7,副,там,そこで・に、あそこで・に,там
1,7,名,дом,((複)はдома́)家、建物,дом
1,7,名,до́ма,自宅で、在宅して,дома
1,7,名,ко́мната,部屋,комната
1,7,名,ма́ма,ママ、おかあさん,мама
1,7,名,окно́,窓,окно
1,7,名,па́па,パパ,папа
1,7,名,стол,机、テーブル,стол
1,7,名,стул,いす,стул
2,10,述,нет,(否定・不賛同の答え)いいえ,нет
2,10,述,нет,...がない、存在しない,нет
2,10,助,да,(肯定・同意の答え)はい,да
2,10,助,не,[否定の助詞],не
2,10,代,вы,君たち、あなた、あなた方,вы
2,10,代,я,わたし,я
2,10,副,здесь,ここに、ここで,здесь
2,10,名,вода́,水,вода
2,10,名,газе́та,新聞、新聞社,газета
2,10,名,кни́га,本,книга
2,10,名,парк,公園,парк
2,10,名,профе́ссор,教授,профессор
2,10,名,река́,川,река
2,10,名,сок,ジュース,сок
2,10,名,студе́нтка,女子学生,студентка
3,14,助,то́же,...もまた,тоже
3,14,接,что,何、[接続詞]...ということ,что
3,14,代,кто,だれ,кто
3,14,代,он,彼、それ,он
3,14,代,она́,彼女、それ,она
3,14,代,они́,彼ら、彼女ら、それら,они
3,14,副,где,どこに、[関係副詞]...する・した(場所),где
3,14,名,брат,兄弟(兄または弟),брат
3,14,名,журна́л,雑誌,журнал
3,14,名,журнали́ст,ジャーナリスト,журналист
3,14,名,по́чта,郵便局,почта
3,14,名,сестра́,姉妹(姉または妹),сестра
3,14,名,слова́рь,辞書,словарь
3,14,名,учи́тель,((複)はучителя́)教師,учитель
3,14,名,япо́нка,日本人(の女),японка
4,17,形,ваш,君たちの、あなたの、あなた方の,ваш
4,17,形,её,彼女の、それの,её
4,17,形,мой,わたしの,мой
4,17,形,наш,わたしたちの,наш
4,17,形,твой,君の,твой
4,17,形,чей,だれの,чей
4,17,接,а,(対比)が、一方,а
4,17,代,его́,彼の、それの,его
4,17,代,их,彼らの、彼女らの、それらの,их
4,17,代,мы,わたしたち,мы
4,17,代,оно́,それ,оно
4,17,代,ты,君,ты
4,17,名,дя́дя,叔父、おじさん,дядя
4,17,名,и́мя,名前,имя
4,17,名,музе́й,博物館、美術館,музей
4,17,名,неде́ля,週、1週間,неделя
4,17,名,писа́тель,作家,писатель
4,17,名,письмо́,手紙,письмо
4,17,名,по́ле,野原、畑,поле
4,17,名,роди́тели,両親,родители
4,17,名,тетра́дь,ノート,тетрадь
4,17,名,уче́бник,教科書,учебник
4,18,名,ме́сто,場所、席,место
4,18,名,пло́щадь,広場,площадь
4,18,名,сло́во,ことば、単語,слово
4,18,名,соба́ка,犬,собака
4,18,名,тётя,叔母、おばさん,тётя
4,18,名,часы́,[tʃ’ɪsí] 時計,часы
4,18,名,шко́ла,学校,школа
4,19,副,ря́дом,隣り合って、ならんで(4''),рядом
4,19,副,спра́ва,右側に・で,справа
4,19,名,ба́бушка,おばあさん、祖母,бабушка
4,19,名,врач,医者,врач
4,19,名,де́душка,おじいさん、祖父,дедушка
4,19,名,мать,母,мать
4,19,名,оте́ц,父,отец
4,19,名,семья́,家族,семья
4,19,名,фотогра́фия,写真,фотография
5,21,形,како́й,どんな、なんという,какой
5,21,形,молодо́й,若い,молодой
5,21,形,но́вый,新しい,новый
5,21,形,си́ний,青い、紺色の,синий
5,21,形,ста́рый,古い、年とった,старый
5,21,形,э́тот,この、その,этот
5,21,接,и́ли,あるいは、または,или
5,21,動,де́лать1,(不完)する、作る,делать
5,21,動,знать1,(不完)知っている,знать
5,21,動,слу́шать1,(不完)聞く,слушать
5,21,動,чита́ть1,(不完)読む,читать
5,21,副,хорошо́,よく、上手に,хорошо
5,21,名,го́род,((複)はгорода́)町、都市,город
5,21,名,пла́тье,ドレス、ワンピース,платье
5,21,名,ра́дио,ラジオ,радио
5,22,形,интере́сный,おもしろい、興味深い,интересный
5,22,形,краси́вый,美しい、きれいな,красивый
5,22,形,ле́тний,夏の,летний
5,22,動,рабо́тать1,(不完)働く、勉強する,работать
5,22,副,сего́дня,きょう,сегодня
5,22,名,расска́з,短編小説,рассказ
5,23,その他,и...и...,...も、...も,и...и...
5,23,形,до́брый,よい、善良な,добрый
